Date,Open,High,Low,Close,Volume
2019/1/2,226.5,226.5,219,219.5,32900
2019/1/3,214,218,214,215.5,34615
2019/1/4,211.5,211.5,206.5,208,67043
2019/1/7,212,214,211,213,35695
2019/1/8,212,212.5,210,211,23794
2019/1/9,212,216.5,211,215.5,51255
2019/1/10,216,216.5,214.5,216,20832
2019/1/11,219,220.5,218,220.5,28658
2019/1/14,218.5,220,217,218.5,17612
2019/1/15,216.5,221,215.5,221,42990
2019/1/16,218.5,220,217.5,217.5,30038
2019/1/17,218,221,218,220.5,21163
2019/1/18,219,220,217.5,218.5,52677
2019/1/21,220,223,220,221,32515
2019/1/22,220,223,219,223,30958
2019/1/23,221.5,222,220,220.5,18671
2019/1/24,222.5,222.5,220.5,222.5,31348
2019/1/25,226.5,227,225,226,48039
2019/1/28,229.5,229.5,228,229,29134
2019/1/29,222.5,225,222,222.5,42566
2019/1/30,220.5,221.5,220,221,51889
2019/2/11,228,229,226.5,228,81360
2019/2/12,230,230,229,230,30125
2019/2/13,232,232,228.5,229,28634
2019/2/14,229.5,230,226,227,23647
2019/2/15,229,229,226.5,227,22369
2019/2/18,229,230.5,228.5,230,18163
2019/2/19,230,230.5,229,229,18423
2019/2/20,231.5,234.5,231,234.5,31887
2019/2/21,235.5,236.5,234.5,236.5,34013
2019/2/22,235.5,236.5,234,236.5,22032
2019/2/25,237.5,239,236,238,25227
2019/2/26,239,240,236.5,239.5,24586
2019/2/27,238.5,239.5,237,239,37947
2019/3/4,239.5,239.5,234.5,235.5,45164
2019/3/5,234,234.5,232.5,233,23708
2019/3/6,235,235.5,233.5,234,20811
2019/3/7,235,235,233,234,17226
2019/3/8,231,231.5,229,230,22535
2019/3/11,228,230.5,227.5,230.5,34282
2019/3/12,233,237,232.5,235.5,23839
2019/3/13,234,237,234,237,22493
2019/3/14,239,239,234,234.5,17281
2019/3/15,237,239.5,235.5,239,34542
2019/3/18,239.5,241,239,241,27040
2019/3/19,239,240.5,238,240.5,14620
2019/3/20,242,242,239.5,242,23055
2019/3/21,242.5,245.5,241,245.5,27514
2019/3/22,248,248.5,244.5,248.5,22996
2019/3/25,240.5,243.5,240.5,241.5,19273
2019/3/26,243,244,241,244,21053
2019/3/27,242,242.5,240.5,241.5,23622
2019/3/28,240.5,242.5,240,242,13998
2019/3/29,243,245.5,240.5,245.5,31024
2019/4/1,251,251,245,245.5,35330
2019/4/2,249.5,249.5,246,246,25189
2019/4/3,249,249,246.5,246.5,28581
2019/4/8,251,253,250.5,253,46426
2019/4/9,253,254,252,254,22745
2019/4/10,253,254.5,252,254,33174
2019/4/11,253,254,251.5,252,25146
2019/4/12,251.5,253,251,252,13888
2019/4/15,255,256,254,255.5,17257
2019/4/16,257,257,255.5,257,20231
2019/4/17,260,263,259.5,261.5,39037
2019/4/18,264,266,263.5,264.5,48525
2019/4/19,269,269.5,263.5,264.5,47698
2019/4/22,266.5,267.5,265,266,24967
2019/4/23,266.5,268,266,268,26251
2019/4/24,270,270,267.5,269,37386
2019/4/25,268.5,269,267,267.5,36572
2019/4/26,262,263,257.5,260,51743
2019/4/29,260,262,258.5,259.5,32651
2019/4/30,260,260.5,258,259,40446
2019/5/2,261.5,262.5,258.5,259,27376
2019/5/3,262,265,260.5,265,30200
2019/5/6,260,260,258,259,33688
2019/5/7,259.5,263,259,262.5,25686
2019/5/8,260,261.5,259.5,260,25902
2019/5/9,259.5,259.5,256,256.5,34166
2019/5/10,257,259,255,256,18868
2019/5/13,253,254,249.5,250.5,29317
2019/5/14,247.5,251,245,248.5,45620
2019/5/15,251,252,249,249,37223
2019/5/16,248.5,249.5,246,247,30331
2019/5/17,249,249,241.5,241.5,40006
2019/5/20,242.5,243,238,238,47097
2019/5/21,233.5,236,232.5,234,82872
2019/5/22,236.5,240.5,235.5,238,36289
2019/5/23,233.5,233.5,230,230,62258
2019/5/24,230,234,230,233,38226
2019/5/27,234,235,231,231,37447
2019/5/28,232,232,230.5,230.5,99322
2019/5/29,228,230.5,227,229.5,32260
2019/5/30,230,231.5,229,231,40375
2019/5/31,232,237.5,231,235.5,49163
2019/6/3,235.5,238.5,232,238,36687
2019/6/4,237.5,238,233,233,24443
2019/6/5,238,238,234,235,35901
2019/6/6,231.5,232,229.5,232,34651
2019/6/10,237.5,240,234.5,240,35521
2019/6/11,240,246,239,244.5,34691
2019/6/12,244.5,247.5,243,246,30409
2019/6/13,242.5,244,240,240,33731
2019/6/14,238.5,239.5,236,236,35403
2019/6/17,231.5,235,230.5,233,51692
2019/6/18,234,235.5,233,235.5,28798
2019/6/19,242.5,244,240.5,244,50234
2019/6/20,242,245.5,241,245,39717
2019/6/21,248,248.5,246,248.5,62136
2019/6/24,241,242,240,241,43460
2019/6/25,241,241.5,237,238.5,29735
2019/6/26,235,236.5,234,234.5,28770
2019/6/27,236,241.5,236,240.5,42007
2019/6/28,241.5,241.5,238,239,28085
2019/7/1,245.5,250,245,248.5,66370
2019/7/2,249.5,250,247.5,249,26832
2019/7/3,244,245,242,242.5,29549
2019/7/4,244.5,245,242.5,244,18691
2019/7/5,244.5,245,241.5,243,27317
2019/7/8,240,244.5,240,242.5,29190
2019/7/9,241.5,243,240.5,242,16538
2019/7/10,243,247,243,247,23812
2019/7/11,250,250,247.5,250,31296
2019/7/12,252,252,249.5,250.5,23868
2019/7/15,251,254.5,249.5,254.5,34264
2019/7/16,254,256.5,253.5,256,26141
2019/7/17,254,254,251,252,34346
2019/7/18,252,254.5,251.5,254,20908
