,Trades,Win,Loss,Win_Rate,Profit
1101.tw,33,14,19,0.42424242424242425,39.946048604401035
1102.tw,35,17,18,0.4857142857142857,89.28970990307864
1216.tw,39,16,23,0.41025641025641024,-41.377154179893665
1301.tw,40,15,25,0.375,-18.724228998275557
1303.tw,34,14,20,0.4117647058823529,7.361155422075955
1326.tw,44,10,34,0.22727272727272727,-33.03487527013756
1402.tw,39,19,20,0.48717948717948717,5.96629586871285
1476.tw,60,27,33,0.45,-6.263803333587188
2002.tw,31,12,19,0.3870967741935484,49.11918254358061
2105.tw,48,15,33,0.3125,-43.72992610487631
2207.tw,50,14,36,0.28,31.399556339999823
2301.tw,48,20,28,0.4166666666666667,-12.166518137793231
2303.tw,51,22,29,0.43137254901960786,264.8447967231268
2308.tw,50,17,33,0.34,1.2739472449997673
2317.tw,41,16,25,0.3902439024390244,69.06511701122972
2324.tw,29,11,18,0.3793103448275862,21.919839988394944
2330.tw,41,17,24,0.4146341463414634,144.24531569000007
2354.tw,50,18,32,0.36,-16.53212410354611
2357.tw,39,17,22,0.4358974358974359,3.26976414499986
2382.tw,38,16,22,0.42105263157894735,34.30320165973068
2395.tw,46,20,26,0.43478260869565216,18.165767817059976
2408.tw,68,24,44,0.35294117647058826,30.638598715036714
2409.tw,60,29,31,0.48333333333333334,122.51686473506518
2412.tw,16,7,9,0.4375,3.6208773354176667
2474.tw,57,23,34,0.40350877192982454,-2.760043622500356
2801.tw,26,8,18,0.3076923076923077,-10.281745839875343
2881.tw,34,17,17,0.5,52.20788944043056
2882.tw,37,18,19,0.4864864864864865,4.45434769280129
2883.tw,32,14,18,0.4375,34.458092983584386
2884.tw,19,12,7,0.631578947368421,113.18524809852211
2885.tw,33,18,15,0.5454545454545454,54.7983249351643
2886.tw,20,11,9,0.55,45.44273782441902
2887.tw,24,10,14,0.4166666666666667,42.25825994157919
2890.tw,24,13,11,0.5416666666666666,36.81784525039734
2892.tw,18,11,7,0.6111111111111112,69.29162621765428
2912.tw,43,12,31,0.27906976744186046,-47.893600965000104
3008.tw,73,25,48,0.3424657534246575,-21.888544775000366
3045.tw,19,5,14,0.2631578947368421,-16.807986110921508
3481.tw,62,26,36,0.41935483870967744,115.34086106579625
4904.tw,25,8,17,0.32,-29.001807118569573
4938.tw,47,15,32,0.3191489361702128,-28.876609828016953
5880.tw,17,12,5,0.7058823529411765,92.3040483793829
6505.tw,52,14,38,0.2692307692307692,-48.10820062582557
9904.tw,52,14,38,0.2692307692307692,-68.49931521989575
1227.tw,32,10,22,0.3125,-6.644357231654785
1319.tw,55,18,37,0.32727272727272727,-27.379583552124004
1440.tw,51,19,32,0.37254901960784315,18.587601171492157
1477.tw,65,21,44,0.3230769230769231,-47.082449080396835
1504.tw,41,12,29,0.2926829268292683,-16.13615106087972
1536.tw,61,23,38,0.3770491803278688,-16.05358155626684
1589.tw,68,25,43,0.36764705882352944,-46.24222869178919
1590.tw,84,31,53,0.36904761904761907,30.024968528011538
1605.tw,59,27,32,0.4576271186440678,138.44800326848943
1707.tw,41,12,29,0.2926829268292683,-21.477283162500164
1717.tw,28,15,13,0.5357142857142857,68.27822352700449
1722.tw,26,14,12,0.5384615384615384,63.80745482122141
1723.tw,41,19,22,0.4634146341463415,-5.46853275765893
1789.tw,52,16,36,0.3076923076923077,-24.688453070493555
1802.tw,56,21,35,0.375,147.40845240743198
2015.tw,25,13,12,0.52,102.51612472917664
2049.tw,66,30,36,0.45454545454545453,143.35726579953624
2059.tw,54,15,39,0.2777777777777778,-49.812268567500084
2101.tw,40,16,24,0.4,42.822541917087136
2103.tw,59,19,40,0.3220338983050847,-6.469054023930733
2106.tw,40,11,29,0.275,-32.16984539898477
2201.tw,47,17,30,0.3617021276595745,-3.7178930008106286
2231.tw,78,29,49,0.3717948717948718,-26.167263359746944
2313.tw,69,31,38,0.4492753623188406,28.04092246450509
2327.tw,73,29,44,0.3972602739726027,207.31630516061105
2345.tw,76,34,42,0.4473684210526316,128.07087066281005
2347.tw,34,14,20,0.4117647058823529,26.831151365194263
2352.tw,52,25,27,0.4807692307692308,16.690926203008836
2353.tw,57,23,34,0.40350877192982454,33.15413615096715
2355.tw,59,23,36,0.3898305084745763,-23.762853735959087
2360.tw,74,26,48,0.35135135135135137,-39.74422452508627
2362.tw,36,13,23,0.3611111111111111,31.75824907978419
2376.tw,67,28,39,0.417910447761194,12.090933486155397
2377.tw,61,26,35,0.4262295081967213,94.32595152649526
2379.tw,58,30,28,0.5172413793103449,216.6446872449927
2383.tw,67,25,42,0.373134328358209,38.79858024730088
2385.tw,39,13,26,0.3333333333333333,-27.199966314298052
2392.tw,53,16,37,0.3018867924528302,-8.611285369738948
2449.tw,57,24,33,0.42105263157894735,6.2265190762874205
2451.tw,35,11,24,0.3142857142857143,-9.38159599872774
2498.tw,67,23,44,0.34328358208955223,59.0999160662086
2501.tw,37,19,18,0.5135135135135135,42.717864079126876
2542.tw,31,12,19,0.3870967741935484,9.566700619718944
2603.tw,61,30,31,0.4918032786885246,881.2700925699668
2609.tw,69,28,41,0.4057971014492754,644.7552880573014
2610.tw,45,19,26,0.4222222222222222,142.836027984979
2615.tw,57,28,29,0.49122807017543857,304.49591886208606
2618.tw,43,18,25,0.4186046511627907,29.463013620762247
2707.tw,28,13,15,0.4642857142857143,37.926677824999906
2809.tw,32,15,17,0.46875,53.66242596726355
2812.tw,10,6,4,0.6,78.30515268961906
2823.tw,37,14,23,0.3783783783783784,15.704666861049436
2834.tw,21,12,9,0.5714285714285714,34.955113283418235
2845.tw,13,7,6,0.5384615384615384,30.52391604089581
2849.tw,32,14,18,0.4375,6.062831613801746
2903.tw,34,10,24,0.29411764705882354,-0.6555860735513502
2915.tw,47,18,29,0.3829787234042553,20.88333251039432
3034.tw,58,26,32,0.4482758620689655,105.3716357974999
3037.tw,76,25,51,0.32894736842105265,158.17126500355107
3044.tw,49,22,27,0.4489795918367347,31.82068159929598
3189.tw,70,32,38,0.45714285714285713,155.21306504027243
3231.tw,43,18,25,0.4186046511627907,88.56930265851707
3673.tw,72,29,43,0.4027777777777778,-30.417132661163727
3702.tw,29,14,15,0.4827586206896552,30.124950543986444
4958.tw,54,23,31,0.42592592592592593,47.958552218901
