,Date,ticker_num,price,tax,spend,profit,profit_rate,earn,earn_rate,account
0,2019-03-06,43228,11.55,711478.8450000001,-499994.87884500006,,,,,5.121154999942519
1,2019-05-06,-43228,13.5,2582332.65,580995.66735,81000.78850499995,16.200323629736705,81000.78850499995,16.20015770099999,581000.788505
2,2019-07-10,41147,14.1,826746.0974999999,-580999.4460975,,,,,1.3424074999056756
3,2019-07-16,-41147,14.35,2612783.06625,587846.6669337499,6847.220836249879,1.1785245032920078,87848.00934124982,17.569601868249965,587848.0093412498
4,2019-08-30,44136,13.3,836487.54,-587845.28754,,,,,2.7218012497760355
5,2019-10-03,-44136,13.3,2597513.94,584411.28606,-3434.0014800000936,-0.5841675612252699,84414.00786124973,16.882801572249946,584414.0078612497
6,2019-11-04,40247,14.5,831603.6375000001,-584413.1036375,,,,,0.9042237497633323
7,2020-01-03,-40247,16.55,2947438.73625,663140.41126375,78727.30762625008,13.471174266325672,163141.3154874998,32.62826309749997,663141.3154874998
8,2020-04-20,43854,15.1,943628.4450000001,-663139.028445,,,,,2.2870424998691306
9,2020-04-28,-43854,15.5,3007836.2249999996,676729.163775,13590.135330000077,2.0493644239078637,176731.4508174999,35.34629016349998,676731.4508174999
10,2020-07-21,40344,16.75,962960.8500000001,-676724.96085,,,,,6.489967499859631
11,2020-08-10,-40344,25.25,4507685.55,1014178.31445,337453.3535999999,49.865657855466395,514184.8044174998,102.83696088349996,1014184.8044174998
12,2020-09-24,39483,25.65,1443153.0037500001,-1014182.1030037499,,,,,2.7014137499500066
13,2020-10-16,-39483,31.4,5485965.435,1234280.234565,220098.1315612502,21.702032693080998,734282.93597875,146.85658719575002,1234282.93597875
14,2020-10-22,38637,31.9,1756341.4274999998,-1234276.6414275,,,,,6.294551250059158
15,2020-10-30,-38637,32.0,5470999.2,1230913.0008,-3363.6406274999026,-0.2725191836742281,730919.2953512501,146.18385907025,1230919.29535125
16,2020-12-18,26152,47.0,1751530.2000000002,-1230895.5302,,,,,23.76515125017613
17,2020-12-24,-26152,46.9,5427389.94,1221101.41006,-9794.120140000014,-0.7956906089673291,721125.1752112501,144.22503504225003,1221125.17521125
18,2021-04-13,22497,54.2,1737555.7950000004,-1221074.955795,,,,,50.21941625000909
19,2021-04-29,-22497,58.3,5803719.817499999,1305771.3801824998,84696.42438749969,6.936218287464323,805821.5995987498,161.16431991974994,1305821.5995987498
20,2021-06-03,24696,52.8,1858127.0399999998,-1305806.92704,,,,,14.672558749793097
21,2021-06-09,-24696,51.7,5649765.66,1271133.4343400002,-34673.49269999983,-2.655330737033048,771148.10689875,154.22962137974997,1271148.10689875
22,2021-07-05,23949,53.0,1808748.225,-1271105.748225,,,,,42.358673749957234
23,2021-07-19,-23949,53.4,5659028.955,1273217.571045,2111.8228200001176,0.1661406081239986,773259.9297187501,154.65198594375,1273259.92971875
24,2021-11-17,20086,63.3,1811807.415,-1273255.607415,,,,,4.322303750086576
25,2021-11-29,-20086,62.0,5510594.1,1239821.4059000001,-33434.20151499985,-2.6258829193675353,739825.7282037502,147.96514564075005,1239825.7282037502
