Âπ¥Ê????ãÁõ§????,?ÄÈ´òÂÉπ(??,?Ä‰ΩéÂÉπ(??,?∂Áõ§????,?ê‰∫§???ÉËÇ°),
44196,526,530,524,530,31173
44195,516,525,514,525,46705
44194,515,517,513,515,20226
44193,512,515,509,515,19520
44190,514,515,510,511,12581
44189,511,512,508,510,15218
44188,508,511,506,509,18320
44187,512,516,509,509,25632
44186,512,517,508,516,35153
44183,508,512,507,510,40625
44182,515,515,508,508,39285
44181,509,515,507,512,53661
44180,507,510,504,504,43059
44179,512,513,508,508,30809
44176,517,517,505,516,51296
44175,511,515,510,512,43991
44174,521,524,520,520,46831
44173,514,525,509,524,41830
44172,512,515,506,514,45493
44169,498.5,505,497.5,503,54471
44168,499.5,499.5,495,497,36919
44167,499.5,500,493.5,499,60208
44166,489.5,490,483.5,490,38341
44165,493,493.5,480.5,480.5,149311
44162,487.5,492,486.5,489,35196
44161,489,493.5,488,489,31844
44160,495,495.5,487,487,47179
44159,499.5,500,491.5,492,38630
44158,494.5,498.5,492,496.5,43708
44155,486,490,486,488,35242
44154,499,499,490,490,47345
44153,490,497,486.5,497,56607
44152,502,506,485.5,485.5,75763
44151,470,484.5,469,484,83380
44148,459,462,456.5,462,31483
44147,463,463.5,457.5,458,57993
44146,448.5,457,448.5,457,40355
44145,452,454.5,448.5,451,36786
44144,458,460,454,458.5,43415
44141,455,455.5,450,452.5,32644
44140,451.5,451.5,445.5,451,36539
44139,444.5,451.5,443,450,37929
44138,439.5,443,438,441,31461
44137,433,435.5,428,435.5,34539
44134,437,437,432,432,49770
44133,436.5,439.5,435.5,437,43075
44132,445,447,443,444,26221
44131,447.5,448.5,445.5,447,31795
44130,455,455,450,450,15800
44127,458,458,451.5,452,18777
44126,450,455,449.5,455,25285
44125,453.5,456,451,453,29906
44124,455.5,457,451,451,26567
44123,453,457.5,451,457.5,34846
44120,451,456,448.5,449,48274
44119,456,456.5,450,453,49987
44118,460.5,461,457,459,52677
44117,465,465,456.5,462,46303
44116,458,462,457.5,460,67645
44112,450,454,448.5,453,60853
44111,435,445,435,443,44691
44110,441.5,442,437.5,439.5,36276
44109,438,438,431.5,432.5,33238
44104,430.5,435,430.5,433,28859
44103,432.5,435,428,431,42730
44102,427,431.5,424.5,431.5,34427
44099,427,428,421,424,41263
44098,425.5,429,423,423,82510
44097,436,438.5,432,433.5,47426
44096,440,441,436,437,36842
44095,443.5,450,440,440,40193
44092,447,449.5,443,444,52999
44091,453,455,446.5,448.5,44420
44090,460,462,455.5,458,70608
44089,440.5,447,439.5,445,39661
44088,436,442,435.5,441,39325
44085,435.5,436.5,432.5,436.5,34893
44084,432.5,435,430.5,435,35281
44083,425,428,423,427,40727
44082,428,433,427.5,431,23714
44081,428,432.5,425,426,39854
44078,427,432.5,427,429,51349
44077,439.5,439.5,433.5,436,40683
44076,441,441,430.5,433,42013
44075,430,435,428,435,50129
44074,437,439.5,426.5,426.5,88569
44071,440,440.5,431,435,57039
44070,448,453.5,444,444,57206
44069,435.5,442,435,442,41406
44068,433.5,436,430.5,434.5,37024
44067,427.5,434.5,425,428,49199
44064,421.5,427,420,424.5,41956
44063,427,427.5,401,415,75155
44062,436,436.5,427.5,427.5,31486
44061,440,440.5,432,433,45504
44060,427,435,425.5,435,34607
44057,424,428,423,427,24259
44056,428,429,424.5,429,45669
44055,422,423.5,419,419,53980
44054,432,435,429,429,34545
44053,427.5,437.5,427.5,435.5,36067
44050,433.5,434,428,433,37611
44049,437.5,438,431,435,43443
44048,430.5,433.5,426,429,47460
44047,421.5,425.5,418.5,425.5,41697
44046,420.5,424,415,416,77288
44043,426,432,425.5,425.5,50484
44042,436.5,441,428.5,434,69936
44041,428,431.5,419.5,422,88641
44040,464,466.5,428.5,435,172157
44039,420.5,424.5,416.5,424.5,103315
44036,390,395,382,386,90988
44035,382,383,379,381.5,45397
44034,381,386,379,384,43959
44033,372.5,387,371.5,383,64440
44032,370,370,362.5,366,44940
44029,361,369,360,367,66403
44028,359,361,353.5,357.5,68582
44027,366,370,361,363,75105
44026,355,364,354.5,363.5,63030
44025,351,354.5,350.5,354.5,49459
44022,352.5,353,345.5,348.5,60902
44021,346,347,343,345,37410
44020,337.5,342.5,337.5,341,33813
44019,343.5,346,338,338.5,59046
44018,332.5,338,332,338,57256
44015,327,330.5,326.5,329.5,55656
44014,319,322,318,322,37789
44013,315,318,314,317.5,29685
44012,313.5,314,311,313,49241
44011,314,315,310,312,56672
44006,319,320,316,317.5,55464
44005,316,316.5,312.5,315,41300
44004,314.5,316.5,312,312,37374
44001,314,314.5,312,314.5,48130
44000,314.5,315,313,314.5,35443
43999,316.5,317,313.5,315,34692
43998,317,317,314,315,40725
43997,316,317.5,308.5,309.5,51032
43994,313,317.5,312.5,316,46970
43993,325.5,327,318.5,320.5,50612
43992,319,324,318,322.5,42207
43991,316.5,319,314,319,37068
43990,316,319,315,318,52042
43987,308.5,312,308,311.5,44077
43986,305,306,304,306,47225
43985,300,301,298,301,67894
43984,296,297.5,296,296.5,26663
43983,294,296.5,293.5,295.5,37936
43980,292,292.5,290,292,96611
43979,298.5,298.5,293,294,32395
43978,297,298,295.5,296.5,23375
43977,295,297.5,293.5,295.5,35817
43976,290.5,293,288.5,292,32942
43973,294.5,295,291,292,41138
43972,296,298,295,297.5,36299
43971,293,294,291,294,36789
43970,294,294,291.5,291.5,53083
43969,291,293.5,290,290,96872
43966,297.5,298.5,294.5,298,44304
43965,293,295,292.5,293,34480
43964,293,297,292.5,297,46158
43963,297.5,298.5,295,295,52494
43962,300,301.5,298.5,301,32379
43959,300,300,296,297.5,35613
43958,294.5,299,294.5,297.5,28017
43957,294.5,296,292.5,296,35704
43956,296.5,298,295,295.5,23988
43955,294.5,296.5,294,295,72252
43951,302,305,301.5,304.5,58439
43950,299,301.5,298,299,46253
43949,298.5,298.5,294.5,296.5,37621
43948,298,298.5,296,298,38493
43945,295.5,297,294,294,26465
43944,300,300,294,295.5,39977
43943,294.5,295,290.5,294,43568
43942,300.5,301.5,293.5,295,61949
43941,308,309,302.5,304,44586
43938,303.5,308.5,300.5,306.5,117447
43937,283,288.5,283,286.5,48257
43936,287,288.5,286,287.5,58561
43935,281,285.5,280,285,50196
43934,278.5,281.5,278.5,278.5,22196
43931,280,282,279,279.5,28206
43930,287.5,288,282.5,283,29276
43929,285,285.5,283,285,38698
43928,283.5,284,280.5,283,48887
43927,273,275.5,270,275.5,59712
43922,276.5,276.5,271.5,271.5,47572
43921,273,274,269.5,274,53901
43920,263.5,269,262.5,267.5,53403
43917,284,286,273,273,69320
43916,279.5,280,275.5,280,54189
43915,276.5,280,274,277,80514
43914,268,274,266,267.5,82377
43913,257,262.5,252,255,76963
43910,258.5,270,256,270,159179
43909,252,253,235.5,248,160811
43908,269.5,272.5,260,260,118620
43907,265,276.5,265,268,122409
43906,285,291,275.5,276.5,103933
43903,275,294,272.5,290,151268
43902,299,299,287,294,114173
43901,309,310.5,302,302,64923
43900,301.5,309,301,307,74869
43899,307.5,310,305.5,305.5,88633
43896,320,320.5,315,315,52807
43895,325,326,323,323,38223
43894,322,322,317,320.5,44745
43893,318.5,320,316,317.5,55169
43892,308,317,308,311,86372
43888,319,320,315,316,62401
43887,317,320.5,316.5,318.5,60768
43886,320,323.5,317.5,322,38674
43885,319.5,321.5,319.5,320,42946
43882,325.5,326.5,323,325,22974
43881,328,329,325,325.5,27061
43880,322.5,327,322,326.5,48856
43879,324.5,326.5,322,322,64662
43878,331.5,333,330.5,331.5,16145
43875,337,337,334.5,335,18326
43874,338,338,335,335,23217
43873,333.5,336,333,335,37612
43872,330.5,332.5,330,331.5,29062
43871,321.5,328,321,327.5,30814
43868,330,330.5,326,328,30055
43867,329.5,332.5,329,332.5,29659
43866,329,329.5,324.5,327.5,36601
43865,319,326,318,325,52208
43864,315,316.5,312,315,59711
43861,323,323.5,319,320,62912
43860,326,326,316.5,316.5,126820
43850,334,335.5,333,333,35551
43847,334,335.5,332,333,53908
43846,330,336.5,330,334.5,58217
43845,345,345,337.5,340,54575
43844,345.5,346,344.5,346,30368
