name,population,city
Zhongzheng District,159598,Taipei City
Banqiao District,551452,New Taipei City
Taoyuan District,441287,Taoyuan City
Beitun District,275207,Taichung City
Annan District,192327,Tainan City
Sanmin District,343203,Kaohsiung City
Da'an District,309835,Taipei City
Yonghe District,222531,New Taipei City
Bade District,198473,Taoyuan City
Qianzhen District,189623,Kaohsiung City
Fengshan District,359125,Kaohsiung City
Xinyi District,225561,Taipei City
Xindian District,302070,New Taipei City
